artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
Wanna One,BOOMERANG,5,3,4,Dance,spring,male,K_POP,Group,1,2018.5.6,0.467455621,0.317307692,0.6,0.866326391,0.828952654,0.551930308,0.770987695,0,0,0,0
WINNER,EVERYDAY,2,2,2,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.532544379,0.182692308,0.78,0.979069206,0.862008663,0.477571876,0.607429507,0,0,0,0
길구봉구,이 별,4,5,4,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.627218935,0.490384615,0.45,0.515597832,0.811662126,0.660567269,0.283488333,0,0,0,0
김하온,바코드,2,4,2,Rap/Hiphop,spring,male,K_POP,Project,0,2018.5.6,0.582840237,0.115384615,0,0.909771383,0.819217904,0.477571876,0.876803517,0,0,0,0
김하온,붕붕,1,1,1,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.618343195,0.461538462,0,0.909771383,0.893919672,0.477571876,0.876803517,0,0,0,0
나얼,기억의 빈자리,9,10,8,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.74556213,0.028846154,0.86,0.684055901,0,0.56680661,0.785895848,0.33132917,0.067175663,0.027148049,0
닐로,지나오다,1,1,1,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.75443787,0.923076923,0.66,0.483197436,0.900282714,0.660567269,0.305731339,0,0,0,0
레드벨벳,Bad Boy,4,2,4,Dance,spring,female,K_POP,Group,1,2018.5.6,0.547337278,0.173076923,0.27,0.602111963,0.863971696,0.551930308,0.729622513,0.081800533,0.01013238,0.008000284,0
로꼬,나타나줘,9,10,8,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.594674556,0.019230769,0.64,0.31605134,0,0.477571876,0.913960106,0,0,0,0
"로꼬, 화사",주지마,1,10,1,Ballad,spring,mixed,K_POP,Project,1,2018.5.6,0.609467456,0.586538462,0.345,0.230700527,0,0.660567269,0.966419923,0,0,0,0
로이킴,그때 헤어지면 돼,2,3,2,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.659763314,0.509615385,0.12,0.127361065,0.839197323,0.660567269,0.730368397,0.349720218,0.073706995,0.029420267,0
마마무,별이 빛나는 밤,1,10,1,Dance,spring,female,K_POP,Group,1,2018.5.6,0.547337278,0.451923077,0.34,0.543777623,0,0.551930308,0.734059782,0.19643771,0.030276552,0.014167693,0
먼데이 키즈,가을 안부,4,5,4,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.819526627,0.788461538,0.73,0.436587303,0.818745559,0.660567269,0.679395956,0,0,0,0
멜로망스,You,1,1,1,Ballad,spring,male,K_POP,Duet,1,2018.5.6,0.727810651,0.596153846,0.66,0.310952774,0.75672293,0.660567269,0.675594471,0,0,0,0
모모랜드,뿜뿜,2,10,2,Dance,spring,female,K_POP,Group,1,2018.5.6,0.541420118,0.567307692,0.6,0.439457267,0,0.551930308,0.665788315,0,0,0,0
문문,비행운,3,4,3,Indi,spring,male,K_POP,Solo,1,2018.5.6,0.452662722,0.096153846,0.05,0.07290649,0.819530538,0.513549813,0,0,0,0,0
박보람,애쓰지 마요,8,10,8,Ballad,spring,female,K_POP,Solo,1,2018.5.6,0.600591716,0.038461538,0.48,0.31605134,0,0.660567269,0.730368397,0,0,0,0
박원,all of my life,5,5,5,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.659763314,0.307692308,0.27,0.741966031,0.812555383,0.660567269,0.127361065,0,0,0,0
방탄소년단,DNA,5,4,5,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.582840237,0.673076923,0.24,0.83146246,0.819996146,0.477571876,0.436587303,0.383592056,0.086902797,0.025125001,0
배연서,북,3,9,3,Rap/Hiphop,spring,male,K_POP,Project,1,2018.5.6,0.553254438,0.076923077,0.37,0.65233852,0.777781306,0.477571876,0.876803517,0,0,0,0
볼빨간사춘기,#첫사랑,6,10,6,Indi,spring,female,K_POP,Solo,1,2018.5.6,0.538461538,0.067307692,0.13,0.294895127,0,0.513549813,0.7362448,0,0,0,0
비투비,그리워하다,6,10,6,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.624260355,0.644230769,0.36,0.5347855,0,0.660567269,0.408888488,0,0,0,0
빅뱅,꽃 길,2,3,2,Trot,spring,female,K_POP,Solo,1,2018.5.6,0.50887574,0.307692308,0.43,0.230700527,0.83225823,0.535119941,0.607429507,0.319831713,0.063302517,0.011806624,0
선미,주인공,7,7,6,Dance,spring,female,K_POP,Solo,1,2018.5.6,0.5,0.048076923,0.16,0.339886231,0.794921122,0.551930308,0.207039327,0.502134154,0.147727273,0.028593782,0
아이유,밤편지,4,10,4,Ballad,spring,female,K_POP,Solo,1,2018.5.6,0.671597633,1,0.49,0.442289713,0,0.660567269,0.542008804,0,0,0,0
양다일,미안해,6,10,6,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.600591716,0.788461538,0.1,0.189695748,0,0.56680661,0.258698005,0,0,0,0
