,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
124,10,1,Dance,spring,female,K_POP,Group,1,0.547337278,0.451923077,0.38,0.592480196,0.0,0.551930308,0.75696239,0.235739295,0.039282,0.017952941,0.0
125,4,4,Ballad,spring,male,K_POP,Solo,1,0.819526627,0.788461538,0.65,0.43945726700000004,0.823439267,0.660567269,0.67750355,0.0,0.0,0.0,0.0
126,1,1,Ballad,spring,male,K_POP,Duet,1,0.727810651,0.596153846,1.0,0.310952774,0.879448647,0.660567269,0.658650007,0.0,0.0,0.0,0.0
127,10,2,Dance,spring,female,K_POP,Group,1,0.541420118,0.567307692,0.45,0.418520254,0.0,0.551930308,0.921178178,0.0,0.0,0.0,0.0
128,4,3,Indi,spring,male,K_POP,Solo,1,0.452662722,0.096153846,0.17,0.087855801,0.8230023320000001,0.513549813,0.0,0.0,0.0,0.0,0.0
129,10,8,Ballad,spring,female,K_POP,Solo,1,0.600591716,0.038461537999999997,0.61,0.542008804,0.0,0.660567269,0.763450272,0.0,0.0,0.0,0.0
130,5,5,Ballad,spring,male,K_POP,Solo,1,0.659763314,0.307692308,0.6,0.846785034,0.817140778,0.660567269,0.114976033,0.0,0.0,0.0,0.0
131,2,5,Rap/Hiphop,spring,male,K_POP,Group,0,0.582840237,0.673076923,0.38,0.9503044620000001,0.8539434570000001,0.477571876,0.536614026,0.351232153,0.074263018,0.020546916999999998,0.0
132,7,3,Rap/Hiphop,spring,male,K_POP,Project,1,0.553254438,0.076923077,0.48,0.627483492,0.8057703629999999,0.477571876,0.910745224,0.0,0.0,0.0,0.0
133,10,6,Indi,spring,female,K_POP,Solo,1,0.538461538,0.067307692,0.14,0.7536441159999999,0.0,0.513549813,0.7204656970000001,0.0,0.0,0.0,0.0
134,10,6,Ballad,spring,male,K_POP,Group,1,0.624260355,0.644230769,0.3,0.515597832,0.0,0.660567269,0.34435399899999997,0.0,0.0,0.0,0.0
135,4,2,Trot,spring,female,K_POP,Solo,1,0.50887574,0.307692308,0.47,0.238046284,0.82061082,0.535119941,0.680335997,0.28241944,0.051733159,0.00913458,0.0
136,8,7,Dance,spring,female,K_POP,Solo,1,0.5,0.048076923,0.09,0.170842204,0.7931782409999999,0.551930308,0.189695748,0.615719543,0.235431235,0.023713012000000002,0.0
137,10,4,Ballad,spring,female,K_POP,Solo,1,0.671597633,1.0,0.57,0.746851113,0.0,0.660567269,1.0,0.0,0.0,0.0,0.0
138,10,6,R&B/Soul,spring,male,K_POP,Solo,1,0.600591716,0.788461538,0.1,0.19854101899999999,0.0,0.56680661,0.24515115199999998,0.0,0.0,0.0,0.0
139,10,7,Drama,spring,female,OST,Solo,1,0.603550296,0.836538462,0.24,0.305731339,0.0,0.613522263,0.801994652,0.0,0.0,0.0,0.0
140,9,2,Rap/Hiphop,spring,male,K_POP,Solo,1,0.529585799,0.375,0.04,0.039505265,0.78842198,0.477571876,0.07290649,0.0,0.0,0.0,0.0
141,5,5,Rap/Hiphop,spring,male,K_POP,Solo,1,0.50295858,0.451923077,0.0,0.361357155,0.8159885809999999,0.477571876,0.43945726700000004,0.0,0.0,0.0,0.0
142,10,5,Ballad,spring,male,K_POP,Solo,1,0.8934911240000001,0.528846154,0.33,0.277551548,0.0,0.660567269,0.626283051,0.030077608999999998,0.003390715,0.014481848,0.0
143,8,3,Rap/Hiphop,spring,male,K_POP,Solo,1,0.576923077,0.067307692,0.45,0.63454974,0.78897146,0.477571876,0.910745224,0.0,0.0,0.0,0.0
144,2,2,Drama,spring,male,OST,Solo,1,0.74852071,0.567307692,0.65,0.13907629999999999,0.875751043,0.613522263,0.902156209,0.0,0.0,0.0,0.0
