rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
6,6,6,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.44,0.581,0.026895119418483906,0.3040561632013515,0.631,0,0,0,0
7,7,6,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.15,0.47600000000000003,0.02149532710280374,0.3040561632013515,0.784,0,0,0,0
8,8,7,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.52,0.447,0.017860851505711317,0.3040561632013515,0.664,0,0,0,0
10,9,8,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0,0.32799999999999996,0.016614745586708203,0.3040561632013515,0.64,0,0,0,0
5,5,4,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.39,0.777,0.030737279335410178,0.3040561632013515,0.693,0,0,0,0
6,5,5,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.62,0.6970000000000001,0.03115264797507788,0.3040561632013515,0.655,0,0,0,0
10,6,10,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.6,0.945,0.028348909657320873,0.3040561632013515,0.7340000000000001,0,0,0,0
9,4,10,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.51,0.892,0.04029075804776739,0.3040561632013515,0.634,0,0,0,0
5,3,9,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,1,1,0.0407061266874351,0.3040561632013515,0.624,0,0,0,0
10,10,10,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.43,0.155,0,0.3040561632013515,0.7829999999999999,0,0,0,0
10,10,10,해외영화,summer,male,OST,Solo,0.38461538461538464,0.09615384615384616,0.62,0.6970000000000001,0,0.3040561632013515,0.598,0,0,0,0
10,10,10,해외영화,summer,male,OST,Solo,0.38461538461538464,0.09615384615384616,0.52,0.447,0,0.3040561632013515,0.784,0,0,0,0
